code,name,action,target_weight,factor_set,regime_weight
603256,宏和科技,HOLD,3.03,mb_v3_combo(V8+Trend+Breakout),0.0
002290,禾盛新材,HOLD,3.03,mb_v3_combo(V8+Trend+Breakout),0.0
003010,若羽臣,HOLD,3.03,mb_v3_combo(V8+Trend+Breakout),0.0
000833,粤桂股份,HOLD,3.03,mb_v3_combo(V8+Trend+Breakout),0.0
600663,陆家嘴,HOLD,3.03,mb_v3_combo(V8+Trend+Breakout),0.0
603156,养元饮品,HOLD,3.03,mb_v3_combo(V8+Trend+Breakout),0.0
603039,泛微网络,HOLD,3.03,mb_v3_combo(V8+Trend+Breakout),0.0
605599,菜百股份,HOLD,3.03,mb_v3_combo(V8+Trend+Breakout),0.0
000703,恒逸石化,HOLD,3.02,mb_v3_combo(V8+Trend+Breakout),0.0
003035,南网能源,HOLD,2.73,mb_v3_combo(V8+Trend+Breakout),0.0
603565,中谷物流,HOLD,2.26,mb_v3_combo(V8+Trend+Breakout),0.0
002364,中恒电气,HOLD,1.81,mb_v3_combo(V8+Trend+Breakout),0.0
002125,湘潭电化,HOLD,1.81,mb_v3_combo(V8+Trend+Breakout),0.0
600737,中粮糖业,HOLD,1.51,mb_v3_combo(V8+Trend+Breakout),0.0
601118,海南橡胶,HOLD,1.51,mb_v3_combo(V8+Trend+Breakout),0.0
002408,齐翔腾达,HOLD,1.51,mb_v3_combo(V8+Trend+Breakout),0.0
002215,诺 普 信,HOLD,1.51,mb_v3_combo(V8+Trend+Breakout),0.0
603301,振德医疗,HOLD,1.47,mb_v3_combo(V8+Trend+Breakout),0.0
600664,哈药股份,HOLD,1.47,mb_v3_combo(V8+Trend+Breakout),0.0
002901,大博医疗,HOLD,1.47,mb_v3_combo(V8+Trend+Breakout),0.0
000811,冰轮环境,HOLD,1.34,mb_v3_combo(V8+Trend+Breakout),0.0
002008,大族激光,HOLD,1.34,mb_v3_combo(V8+Trend+Breakout),0.0
002073,软控股份,HOLD,1.34,mb_v3_combo(V8+Trend+Breakout),0.0
603950,长源东谷,HOLD,1.31,mb_v3_combo(V8+Trend+Breakout),0.0
603358,华达科技,HOLD,1.31,mb_v3_combo(V8+Trend+Breakout),0.0
000887,中鼎股份,HOLD,1.31,mb_v3_combo(V8+Trend+Breakout),0.0
601208,东材科技,HOLD,1.24,mb_v3_combo(V8+Trend+Breakout),0.0
002545,东方铁塔,HOLD,1.24,mb_v3_combo(V8+Trend+Breakout),0.0
002827,高争民爆,HOLD,1.24,mb_v3_combo(V8+Trend+Breakout),0.0
002768,国恩股份,HOLD,1.24,mb_v3_combo(V8+Trend+Breakout),0.0
603395,红四方,HOLD,1.24,mb_v3_combo(V8+Trend+Breakout),0.0
603929,亚翔集成,HOLD,1.21,mb_v3_combo(V8+Trend+Breakout),0.0
002081,金 螳 螂,HOLD,1.21,mb_v3_combo(V8+Trend+Breakout),0.0
600629,华建集团,HOLD,1.21,mb_v3_combo(V8+Trend+Breakout),0.0
000065,北方国际,HOLD,1.21,mb_v3_combo(V8+Trend+Breakout),0.0
000628,高新发展,HOLD,1.21,mb_v3_combo(V8+Trend+Breakout),0.0
002636,金安国纪,HOLD,1.17,mb_v3_combo(V8+Trend+Breakout),0.0
001309,德明利,HOLD,1.17,mb_v3_combo(V8+Trend+Breakout),0.0
600353,旭光电子,HOLD,1.17,mb_v3_combo(V8+Trend+Breakout),0.0
600206,有研新材,HOLD,1.17,mb_v3_combo(V8+Trend+Breakout),0.0
600330,天通股份,HOLD,1.17,mb_v3_combo(V8+Trend+Breakout),0.0
002913,奥士康,HOLD,1.17,mb_v3_combo(V8+Trend+Breakout),0.0
600428,中远海特,HOLD,1.13,mb_v3_combo(V8+Trend+Breakout),0.0
601083,锦江航运,HOLD,1.13,mb_v3_combo(V8+Trend+Breakout),0.0
601022,宁波远洋,HOLD,1.13,mb_v3_combo(V8+Trend+Breakout),0.0
601975,招商南油,HOLD,1.13,mb_v3_combo(V8+Trend+Breakout),0.0
000603,盛达资源,HOLD,1.0,mb_v3_combo(V8+Trend+Breakout),0.0
001337,四川黄金,HOLD,1.0,mb_v3_combo(V8+Trend+Breakout),0.0
601869,长飞光纤,HOLD,0.87,mb_v3_combo(V8+Trend+Breakout),0.0
600105,永鼎股份,HOLD,0.87,mb_v3_combo(V8+Trend+Breakout),0.0
603083,剑桥科技,HOLD,0.87,mb_v3_combo(V8+Trend+Breakout),0.0
002281,光迅科技,HOLD,0.87,mb_v3_combo(V8+Trend+Breakout),0.0
001267,汇绿生态,HOLD,0.87,mb_v3_combo(V8+Trend+Breakout),0.0
603118,共进股份,HOLD,0.87,mb_v3_combo(V8+Trend+Breakout),0.0
002396,星网锐捷,HOLD,0.87,mb_v3_combo(V8+Trend+Breakout),0.0
002017,东信和平,HOLD,0.87,mb_v3_combo(V8+Trend+Breakout),0.0
600403,大有能源,HOLD,0.7,mb_v3_combo(V8+Trend+Breakout),0.0
601666,平煤股份,HOLD,0.7,mb_v3_combo(V8+Trend+Breakout),0.0
600985,淮北矿业,HOLD,0.7,mb_v3_combo(V8+Trend+Breakout),0.0
600508,上海能源,HOLD,0.7,mb_v3_combo(V8+Trend+Breakout),0.0
601918,新集能源,HOLD,0.7,mb_v3_combo(V8+Trend+Breakout),0.0
600546,山煤国际,HOLD,0.7,mb_v3_combo(V8+Trend+Breakout),0.0
000983,山西焦煤,HOLD,0.7,mb_v3_combo(V8+Trend+Breakout),0.0
000937,冀中能源,HOLD,0.7,mb_v3_combo(V8+Trend+Breakout),0.0
600395,盘江股份,HOLD,0.7,mb_v3_combo(V8+Trend+Breakout),0.0
600740,山西焦化,HOLD,0.7,mb_v3_combo(V8+Trend+Breakout),0.0
000506,招金黄金,HOLD,0.67,mb_v3_combo(V8+Trend+Breakout),0.0
000688,国城矿业,HOLD,0.67,mb_v3_combo(V8+Trend+Breakout),0.0
601069,西部黄金,HOLD,0.67,mb_v3_combo(V8+Trend+Breakout),0.0
002716,湖南白银,HOLD,0.67,mb_v3_combo(V8+Trend+Breakout),0.0
601609,金田股份,HOLD,0.67,mb_v3_combo(V8+Trend+Breakout),0.0
605376,博迁新材,HOLD,0.33,mb_v3_combo(V8+Trend+Breakout),0.0
002378,章源钨业,HOLD,0.33,mb_v3_combo(V8+Trend+Breakout),0.0
002428,云南锗业,HOLD,0.33,mb_v3_combo(V8+Trend+Breakout),0.0
600961,株冶集团,HOLD,0.33,mb_v3_combo(V8+Trend+Breakout),0.0
000962,东方钽业,HOLD,0.33,mb_v3_combo(V8+Trend+Breakout),0.0
600988,赤峰黄金,HOLD,0.33,mb_v3_combo(V8+Trend+Breakout),0.0
002192,融捷股份,HOLD,0.33,mb_v3_combo(V8+Trend+Breakout),0.0
600888,新疆众和,HOLD,0.33,mb_v3_combo(V8+Trend+Breakout),0.0
